trade_date,mom_factor,mkt_factor,smb_factor,hml_factor
20070710,0.8163260290000001,-0.11980435751016257,-234.10800000000017,-0.03920350338212586
20070711,0.8229220070000001,-0.1401227227732676,-196.9649999999997,-0.040958850777254696
20070712,0.801175891,-0.15978511965506054,-215.6329999999998,-0.05135196880323356
20070713,0.7948674859999999,-0.14848384502814377,-231.29200000000037,-0.04928590194501403
20070716,0.810504544,-0.1844396859003816,-234.39900000000034,-0.048255929395788044
20070717,0.80405919,-0.1900294904291472,-266.27099999999973,-0.056862782921790256
20070718,0.813325154,-0.19673898599660367,-286.2069999999999,-0.06698175951538765
20070719,0.817580926,-0.1710496148426114,-255.83099999999968,-0.06645012440194087
20070720,0.810884901,-0.13396525222987932,-283.86400000000003,-0.06577464853449655
20070723,0.827203833,-0.042689341880960435,-266.7800000000002,-0.043652619385266433
20070724,0.841250046,0.012161346762663783,-263.0160000000001,-0.032537745229886283
20070725,0.8382459859999999,0.022943744016375674,-245.72199999999975,-0.032597142467309936
20070726,0.852050923,0.01072562351368829,-179.59199999999964,-0.030405216873413465
20070727,0.8565205,0.06983550347016895,-81.84900000000016,-0.015455693305732154
20070730,0.8615546590000001,0.1246413773323376,-104.47800000000007,-0.003914578389444756
20070731,0.8405244590000001,0.13255502108815634,-97.86099999999988,-0.014190418031374108
20070801,0.8505747220000001,0.07141113544320779,-199.72800000000007,-0.02131484688043983
20070802,0.860012532,0.129840332448832,-171.3680000000004,-0.022180051519194777
20070803,0.8633893029999999,0.21886634757658582,-299.1150000000007,-0.030293822032660955
20070806,0.852235733,0.1892568709561126,-310.21699999999964,-0.02601531685735381
20070807,0.851192484,0.1607450402685907,-364.7470000000003,-0.0352232467128033
20070808,0.867618633,0.16465072123075622,-393.9360000000006,-0.02297257773392225
20070809,0.843239317,0.1773122644958935,-493.5549999999994,-0.03428734521730803
20070810,0.8314173979999999,0.15659718064817577,-559.0770000000002,-0.028081129020355533
20070813,0.85654904,0.15437801315554622,-593.6120000000001,-0.018447309645553744
20070814,0.849767561,0.20530276569650724,-539.232,-0.016114425871553095
20070815,0.8498896309999999,0.1811513681403139,-575.576,-0.01369114427083673
20070816,0.844850468,0.16707026403320796,-423.52500000000055,-0.010265091245448943
20070817,0.8333630999999999,0.14927370746567017,-349.41100000000006,-0.003598701618278355
20070820,0.836185967,0.15855614266663653,-455.14300000000003,0.0022736506493021835
20070821,0.838737928,0.1274846153193206,-485.2470000000003,-0.016431367203702862
20070822,0.845525575,0.14061743426518472,-510.1350000000002,-0.01860160360124219
20070823,0.837706883,0.13133779669256807,-547.6220000000003,-0.03226251975084082
20070824,0.837320948,0.12900931961363646,-641.6409999999996,-0.03127016859891896
20070827,0.824782845,0.12516914409708685,-686.4189999999999,-0.03674094256044391
20070828,0.8236507240000001,0.1038036830523521,-694.7929999999997,-0.038257074256394574
20070829,0.8309049000000001,0.07884527644196945,-641.7129999999997,-0.0386893712767602
20070830,0.839862995,0.14053949918413364,-550.6329999999998,-0.020115466938269932
20070831,0.853174249,0.11594730537000839,-558.7619999999997,-0.009793895127812036
20070903,0.8675880020000001,0.10971020359273254,-566.1660000000002,0.02224672050784804
20070904,0.866246768,0.07786600153971915,-524.1299999999992,0.016226939907387106
20070905,0.861756278,0.0785456388592243,-472.5149999999994,0.03071031690437387
20070906,0.869070248,0.10149855088306067,-476.5199999999995,0.03403962086438739
20070907,0.870604577,0.05985691912555515,-479.09000000000015,0.04943587937030003
20070910,0.878819518,0.09061449759961053,-460.47299999999996,0.04858947419683801
20070911,0.864763939,0.039288589585551884,-545.3959999999997,0.03390338729774278
20070912,0.8587905859999999,0.03462370314982726,-556.6179999999995,0.035743240336339355
20070913,0.8709779740000001,0.060489706396532436,-613.9290000000001,0.04061936887707951
20070914,0.848390082,0.07979856992808017,-604.5409999999993,0.048190379243965964
20070917,0.834126985,0.11552061413551867,-591.21,0.06138277560089378
20070918,0.8518761859999999,0.06558868646297225,-492.0690000000004,0.06565351149032139
20070919,0.852030288,0.03848346701906682,-501.1370000000006,0.06918374520892279
20070920,0.84796559,0.0363675229922169,-524.9079999999994,0.07347671132423272
20070921,0.8383242259999999,0.016031397300512437,-540.4380000000001,0.07503459414604663
20070924,0.8440122640000001,0.011023634141856052,-553.4740000000002,0.0756132826291438
20070925,0.8443337409999999,-0.001424449363358414,-542.4849999999997,0.060049405644631904
20070926,0.855890557,-0.019143141571071567,-542.8320000000003,0.05232405961042019
20070927,0.861629179,0.004654195008949834,-569.9989999999998,0.056286595977740106
20070928,0.836298102,0.012862684206496777,-625.8540000000003,0.046483001791305156
20071008,0.840425491,0.011433363290384399,-731.3850000000002,0.0232436399988174
20071009,0.844535225,-0.005888999776621759,-701.1850000000004,0.006239642207860996
20071010,0.8561373879999999,0.003835071645694431,-755.692,0.002748056057912507
20071011,0.848252679,0.0057157749309840675,-990.1980000000003,-0.013183193242403135
20071012,0.840843076,-0.013550492413310564,-1087.7399999999998,-0.01826716148406682
20071015,0.856904681,0.019659348090276092,-1188.8160000000007,-0.012043869299748877
20071016,0.8506371620000001,0.01275159740906693,-1197.1669999999995,-0.02256176360143769
20071017,0.8572643740000001,0.058383545955682715,-1151.955,-0.011223970416097018
20071018,0.8725238609999999,0.01192898267939399,-1041.116,-0.0172090502204707
20071019,0.876035186,-0.01394840749620422,-1038.9520000000002,-0.02544716890123766
20071022,0.870182353,-0.050078124786539,-1021.9279999999999,-0.04929133137671293
20071023,0.8696327770000001,-0.060783239270504275,-1122.5560000000005,-0.06592792267431768
20071024,0.876565533,-0.05926446884287956,-1299.5019999999995,-0.07729229220306877
20071025,0.880747843,-0.10193909251698202,-1411.7909999999993,-0.09530167338822615
20071026,0.87225815,-0.10815481142101618,-1517.317,-0.0939073553648253
20071029,0.871748964,-0.08276944496949629,-1583.5920000000006,-0.07941615678491765
20071030,0.8925295259999999,-0.07253901879659819,-1568.4939999999997,-0.0756791159302832
20071031,0.8919293640000001,-0.040239006338013354,-1477.585,-0.06384664723359101
20071101,0.8748978909999999,-0.04138883880840723,-1543.772,-0.06322917118135685
20071102,0.8742411859999999,-0.07585122315292743,-1529.9659999999994,-0.0810502631997867
20071105,0.882344676,-0.11542613203531688,-1340.7289999999994,-0.06507708898752185
20071106,0.879014195,-0.12802760121552753,-1248.9409999999998,-0.050159734746047846
20071107,0.884597689,-0.12998739276074972,-1303.7710000000006,-0.04653659038828728
20071108,0.8956014409999999,-0.1768454098624816,-1202.8520000000008,-0.04814011609068025
20071109,0.9047828929999999,-0.19204441267044117,-1219.4189999999999,-0.04255250735905847
20071112,0.9146797520000001,-0.19491495158020844,-1234.5620000000008,-0.05448416602784967
20071113,0.932143246,-0.21022021728063006,-1160.982,-0.05917425608756055
20071114,0.925897493,-0.18129205388932143,-1235.188,-0.04696030503258797
20071115,0.924668217,-0.18646478390465399,-1222.3550000000005,-0.05530755160773282
20071116,0.931423551,-0.16444932715261623,-1122.991,-0.04283648202543766
20071119,0.9264161540000001,-0.1589179905051281,-983.0430000000006,-0.020839685772072514
20071120,0.924365507,-0.11803350899305579,-1000.3619999999992,-0.005458811810408193
20071121,0.9169191329999999,-0.14051931264237472,-981.2490000000007,-0.004324404348992061
20071122,0.936017827,-0.18766982686106937,-949.3239999999996,0.006256527959960678
20071123,0.947166383,-0.11491914755322263,-959.6300000000001,0.03093469856105635
